PROD_NBR,PROD_DESC,Product Group
83786470905,ACETAMINOPHEN PM 500MG CAPLETS 50CT,10001100111
30536100836,ASPIRIN 81MG CHEW TAB 36CT,10001100111
30067204591,EXCEDRIN TENSION HEADACHE CAPLET 100CT,10001100111
30067204524,EXCEDRIN TENSION HEADACHE CAPLET 24CT,10001100111
35167221152,FEVERALL ACETAMINOPHEN 120MG SUP 6CT,10001100111
35167221162,FEVERALL ACETAMINOPHEN 325MG SUP 6CT,10001100111
35167221142,FEVERALL ACETAMINOPHEN 80MG SUP 6CT,10001100111
8770142707,GNP APAP 500MG FAST RELSE CAPLET 24CT,10001100111
42037103668,GOODYS HEADACHE POWDER X/STR 50CT,10001100111
30113048478,GS APAP 500MG CAPLET/TYLENOL 100 JDEOBS,10001100111
30113048462,GS APAP 500MG CAPLET/TYLENOL 24 JDEOBS,10001100111
30113048471,GS APAP 500MG CAPLET/TYLENOL 50 JDEOBS,10001100111
7003013184,PAIN RELIEF PM XTRA ST CPL 50,10001100111
37513790492,PERCOGESIC TABLET 24CT,10001100111
37513700493,PERCOGESIC TABLET 50CT,10001100111
37513700495,PERCOGESIC TABLET 90CT,10001100111
37513700497,PERCOGESIC XTRA STRENGTH CAPLET 40CT,10001100111
30045083837,TYLENOL 8HR ARTHRITIS 650MG CAP 225CT,10001100111
30045029721,TYLENOL 8HR MUSCLE PAIN 650MG CAP 100CT,10001100111
30045029727,TYLENOL 8HR MUSCLE PAIN 650MG CAP 24CT,10001100111
30045083821,TYLENOL ARTHRITIS 8HR CAPLET 100CT,10001100111
30045083824,TYLENOL ARTHRITIS 8HR CAPLET 24CT,10001100111
30045044923,TYLENOL E/S CAPL,10001100111
30045044909,TYLENOL EXTRA STR CAPLET 100CT,10001100111
30045044905,TYLENOL EXTRA STR CAPLET 24CT,10001100111
30045044910,TYLENOL EXTRA STR DISPLAY PACK 50X2CT,10001100111
30045044915,TYLENOL EXTRA STR VIAL CAPLET 12X10CT,10001100111
30045048720,TYLENOL LIQUID GELS REG STRENGTH 20CT,10001100111
30045048790,TYLENOL LIQUID GELS REG STRENGTH 90CT,10001100111
30045049660,TYLENOL REGULAR STR TABLET 100CT,10001100111
30045044427,TYLENOL X/S CPL 225,10001100111
30045044902,TYLENOL X/STR CAPLET  10 VL,10001100111
30696907804,CYCLEASE FOR MENSTRUAL CRAMPS 60 TABS,10001100112
31284302471,MIDOL COMPLETE CAPLET 16CT,10001100112
31284315859,MIDOL COMPLETE CAPLET 24CT,10001100112
31284355519,MIDOL COMPLETE CAPLET 40CT,10001100112
31284317253,MIDOL COMPLETE GELCAP 24CT,10001100112
31284354335,MIDOL EXTENDED RELIEF CAPLET 20CT,10001100112
31284353711,MIDOL PM CAPLET 20CT,10001100112
31284316673,MIDOL TEEN MAX STRENGTH CAPLET 24CT,10001100112
4116730065,PAMPRIN MAX TABLET 24CT,10001100112
4116730012,PAMPRIN MULTI SYMPTOM CAPLET 20CT,10001100112
4116730014,PAMPRIN MULTI SYMPTOM CAPLET 40CT,10001100112
4116731023,PREMSYN PMS CAPLET 40CT,10001100112
30573016034,ADVIL CAPLET BONUS 50+50CT,10001100113
36373620045,ANACIN TABLET 100CT,10001100113
36373620065,ANACIN TABLET 300CT,10001100113
36373620025,ANACIN TABLET 30CT,10001100113
36373620035,ANACIN TABLET 50CT,10001100113
31186809301,ASPIRIN 325MG NORWICH TABLET 100CT,10001100113
31284310105,BAYER ASP CHEW 36X3 ORNG,10001100113
31284355565,BAYER ASPIRIN CAPLET 325MG 100CT,10001100113
31284355541,BAYER ASPIRIN CAPLET 500MG PLUS 50CT,10001100113
31284351050,BAYER ASPIRIN CAPLET BACK BODY 50CT,10001100113
31284355539,BAYER ASPIRIN CPT 81MG WOMEN 60CT,10001100113
31284306132,BAYER ASPIRIN LO DOSE 81MG TABLET 32CT,10001100113
31284313231,BAYER ASPIRIN LO DOSE CHWTAB CHERRY 36CT,10001100113
31284313105,BAYER ASPIRIN LO DOSE CHWTAB ORANGE 36CT,10001100113
31284353637,BAYER ASPIRIN LO DOSE REGMN TABLET 120CT,10001100113
31284353640,BAYER ASPIRIN LO DOSE REGMN TABLET 200CT,10001100113
31284353642,BAYER ASPIRIN LO DOSE REGMN TABLET 300CT,10001100113
31284353635,BAYER ASPIRIN TABLET 100CT,10001100113
31284353636,BAYER ASPIRIN TABLET 200CT,10001100113
31284310111,BAYER ASPIRIN TABLET 24CT,10001100113
31284355536,BAYER ASPIRIN TABLET 24CT,10001100113
31284355537,BAYER ASPIRIN TABLET 325MG 50CT,10001100113
31284310117,BAYER ASPIRIN TABLET 50CT,10001100113
31284355540,BAYER ASPIRIN XSTR CPL BACK BODY 100CT,10001100113
31284355854,BAYER ASPIRIN XSTR CPL BACK BODY 24CT,10001100113
